시설,시설명,시군구명,소재지도로명주소,소재지지번,위도,경도,
"행정복지센터, 주민센터",망포1동 행정복지센터,수원시 영통구,경기도 수원시 영통구 망포동 484,,37.2378,127.0608,
,매탄3동 행정복지센터,수원시 영통구,경기도 수원시 영통구 매탄3동 동탄원천로881번길 76,,37.25631,127.0431,
,매탄2동 행정복지센터,수원시 영통구,경기도 수원시 영통구 매탄동 매영로39번길 21,,37.27009,127.0474,
,광교1동 행정복지센터,수원시 영통구,경기도 수원시 영통구 이의동 도청로89번길 20,,37.29019,127.0474,
,영통종합사회복지관,수원시 영통구,경기도 수원시 영통구 반달로 45,,37.25059,127.0773,
,영통2동 행정복지센터,수원시 영통구,경기도 수원시 영통구 영통로217번길 12,,37.24699,127.0563,
,영통1동 행정복지센터,수원시 영통구,경기도 수원시 영통구 영통동 봉영로1759번길 23,,37.26629,127.0806,
,영통3동행정복지센터,수원시 영통구,경기도 수원시 영통구 매영로 386,,37.24956,127.0739,
,광교2동 행정복지센터,수원시 영통구,경기도 수원시 영통구 하동 법조로149번길 155,,37.29216,127.0701,
,광교종합사회복지관,수원시 영통구,경기도 수원시 영통구 대학2로 41,,37.29937,127.0465,
,망포2동 주민센터(행정복지센터),수원시 영통구,경기도 수원시 영통구 망포동 태장로54번길 10,,37.23875,127.0515,
문화센터,영통청소년문화의집(영통청소년청년센터),수원시 영통구,경기도 수원시 영통구 매영로 333 사무실 1층,,37.25273,127.0696,
,영통한국문화센터,수원시 영통구,경기도 수원시 영통구 반달로35번길 30 KR 영통역아이파크 304호,,37.25178,127.0762,
,영통2동문화센터,수원시 영통구,경기도 수원시 영통구 영통로217번길,,37.24692,127.0559,
,광교홍재도서관,수원시 영통구,경기도 수원시 영통구 이의동 대학로 88,,37.30301,127.0473,
도서관,수원시립영통도서관,수원시 영통구,경기도 수원시 영통구 청명로 151,,37.25721,127.072,
체육시설,수원체육문화센터,수원시 영통구,경기도 수원시 영통구 영통로 383,,37.25772,127.0691,
,광교복합체육센터,수원시 영통구,경기도 수원시 영통구 광교호수로 165,,37.28212,127.0702,
,영통체육문화센터,수원시 영통구,경기도 수원시 영통구 봉영로1744번길 36,,37.26438,127.0852,
경찰서,영통지구대,수원시 영통구,경기도 수원시 영통구 청명로 92,,37.25484,127.0779,
,수원남부경찰서,수원시 영통구,경기도 수원시 영통구 매봉로 52,,37.27213,127.0541,
,영통2치안센터,수원시 영통구,경기도 수원시 영통구 영통동 961-8,,37.25292,127.0694,
공영주차장,영통공영주차장,수원시 영통구,경기도 수원시 영통구 영통동 995-3,,37.25333,127.0739,
,영통우체국앞 노상공영주차장,수원시 영통구,경기도 수원시 영통구 영통동 997번지 KR 주차장,,37.25399,127.0767,망포쪽 위치
,영통동 동수원세무서앞 노상공영주차장,수원시 영통구,경기도 수원시 영통구 청명남로,,37.25129,127.0741,
,망포역 공영주차장,수원시 영통구,경기도 수원시 영통구 덕영대로 경기도,,37.24534,127.0574,
건강센터,영통구보건소,수원시 영통구,경기도 수원시 영통구 영통로 396,,37.2569,127.0695,
,경기남부근로자건강센터,수원시 영통구,영통구 영통동 980-3번지 2층 수원시 경기도 KR,,37.24511,127.0599,
인력센터,수원여성인력개발센터(영통여성새로일하기센터),수원시 영통구,경기도 수원시 영통구 영통동 998-1,,37.25351,127.0751,
우체국,수원영통동우체국,수원시 영통구,경기도 수원시 영통구 영통로214번길 1,,37.24659,127.0573,
,수원황곡우체국,수원시 영통구,경기도 수원시 영통구 봉영로1759번길 35,,37.26691,127.0806,
